external_gene_name	hgnc_symbol	chromosome_name	start_position	end_position	ensembl_gene_id	Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	comp	probe_id	reg
UBP1	UBP1	UBP1	3	33388336	33441371	ENSG00000153560	218082_s_at	0.51093480952381	7.36451940740741	2.7636759255889	0.0101306195494955	0.264908606911168	-2.76270090470805	Rem_indfail	218082_s_at	down
UPF3A	UPF3A	UPF3A	13	114281601	114305817	ENSG00000169062	217596_at	-0.609228523809524	5.11535759259259	-2.45916504662188	0.020567720488229	0.356667161359028	-3.37539135234444	Rem_indfail	217596_at	up
VMP1	VMP1	VMP1	17	59707192	59842255	ENSG00000062716	1569003_at	-1.11307835714286	5.77373422222222	-3.41447263103643	0.00201983012215753	0.127965483115832	-1.33864805796678	Rem_indfail	1569003_at	up
VRK3	VRK3	VRK3	19	49976468	50025946	ENSG00000105053	218022_at	0.442903142857144	8.03902622222222	3.01756467653507	0.00547697267704446	0.198250526598619	-2.22327379507207	Rem_indfail	218022_at	down
WDR27	WDR27	WDR27	6	169457212	169702067	ENSG00000184465	238074_at	-0.329515166666667	4.37479825925926	-3.18218939382502	0.00363861078881689	0.166896849730338	-1.86181021203412	Rem_indfail	238074_at	up
WDR77	WDR77	WDR77	1	111439890	111449256	ENSG00000116455	201420_s_at	0.824720119047619	7.01293981481481	2.22489643646884	0.0345705685362174	0.442360041997452	-3.8166771300061	Rem_indfail	201420_s_at	down
YY1	YY1	YY1	14	100238298	100282788	ENSG00000100811	224718_at	-0.571046	8.46899377777778	-2.07893195970734	0.0471781804102819	0.497198730518921	-4.07659877765934	Rem_indfail	224718_at	up
ZDHHC5	ZDHHC5	ZDHHC5	11	57667747	57701182	ENSG00000156599	224858_at	-0.406353952380953	7.34373192592593	-2.17240665929209	0.0387054758684576	0.463880292220061	-3.91154260436548	Rem_indfail	224858_at	up
ZFAS1	ZFAS1	ZFAS1	20	49278178	49299600	ENSG00000177410	226835_s_at	-0.630792952380955	10.8994465925926	-2.43149415545221	0.0218955650215295	0.36531584301255	-3.42896589952762	Rem_indfail	226835_s_at	up
ZMYM3	ZMYM3	ZMYM3	X	71239624	71255146	ENSG00000147130	1554172_a_at	-0.234836809523811	4.96600214814815	-2.19315255749461	0.0370208659679717	0.455152375789855	-3.87423202243361	Rem_indfail	1554172_a_at	up
ZNF136	ZNF136	ZNF136	19	12163064	12189871	ENSG00000196646	206240_s_at	-0.688155238095238	7.18496748148148	-2.56951864124182	0.0159770055573475	0.319277331450283	-3.15811315917205	Rem_indfail	206240_s_at	up
ZNF219	ZNF219	ZNF219	14	21090077	21104722	ENSG00000165804	228511_s_at	-0.359193904761905	4.49242896296296	-2.47140338403415	0.0200044121651025	0.352730434698506	-3.35157799164761	Rem_indfail	228511_s_at	up
ZNF414	ZNF414	ZNF414	19	8509678	8514167	ENSG00000133250	227071_at	-0.267932642857143	4.11888011111111	-2.48599152778992	0.0193515262352906	0.34758367178532	-3.32309859437652	Rem_indfail	227071_at	up
